billing_month,household_id,contract_id,utility_bill_without_system_usd,utility_bill_with_system_usd,subscription_payment_usd,vpp_credits_usd,net_customer_value_usd,overage_kwh
2025-06,H000016,C-000016,419.55,9.84,134.25,4.31,279.77,123.53
2025-01,H000017,C-000017,259.29,16.03,114.37,0.0,128.89,11.67
2025-02,H000017,C-000017,235.43,14.15,114.37,0.0,106.91,3.26
2025-03,H000017,C-000017,252.82,15.69,114.37,0.0,122.76,9.39
2025-04,H000017,C-000017,258.33,15.3,114.37,0.0,128.66,11.33
2025-05,H000017,C-000017,268.41,13.94,114.37,0.0,140.1,14.89
2025-06,H000017,C-000017,236.04,12.09,114.37,0.0,109.58,3.48
2025-01,H000018,C-000018,282.87,1.48,143.82,10.36,147.93,12.24
2025-02,H000018,C-000018,250.87,1.18,143.82,1.09,106.96,0.0
2025-03,H000018,C-000018,325.39,0.61,143.82,7.23,188.19,30.73
2025-04,H000018,C-000018,324.79,0.0,143.82,1.37,182.34,30.47
2025-05,H000018,C-000018,377.04,0.0,143.82,1.89,235.11,53.18
2025-06,H000018,C-000018,336.96,0.02,143.82,3.48,196.6,35.76
2025-01,H000019,C-000019,249.05,28.91,205.12,2.82,17.84,40.19
2025-02,H000019,C-000019,241.33,23.31,205.12,6.93,19.83,36.95
2025-03,H000019,C-000019,272.39,27.22,205.12,5.25,45.3,49.96
2025-04,H000019,C-000019,290.88,25.35,205.12,2.01,62.42,57.71
2025-05,H000019,C-000019,299.01,26.17,205.12,6.13,73.85,61.11
2025-06,H000019,C-000019,273.87,22.19,205.12,6.74,53.3,50.58
2025-01,H000020,C-000020,198.54,13.07,136.19,0.0,49.28,75.43
2025-02,H000020,C-000020,231.59,13.41,136.19,0.0,81.99,98.62
2025-03,H000020,C-000020,272.17,14.7,136.19,0.0,121.28,127.1
2025-04,H000020,C-000020,283.71,15.16,136.19,0.0,132.36,135.19
2025-05,H000020,C-000020,323.62,15.14,136.19,0.0,172.29,163.2
2025-06,H000020,C-000020,279.77,12.94,136.19,0.0,130.64,132.43
2025-01,H000021,C-000021,241.92,10.72,181.69,0.0,49.51,1.09
2025-02,H000021,C-000021,233.31,9.26,181.57,0.0,42.48,0.0
2025-03,H000021,C-000021,285.68,10.41,183.76,0.0,91.51,20.43
2025-04,H000021,C-000021,289.6,7.7,183.94,0.0,97.96,22.16
2025-05,H000021,C-000021,319.54,7.29,185.36,0.0,126.89,35.39
2025-06,H000021,C-000021,291.99,5.36,184.05,0.0,102.58,23.22
2025-01,H000022,C-000022,293.82,19.69,198.77,0.0,75.36,32.38
2025-02,H000022,C-000022,295.68,18.15,198.77,0.0,78.76,33.2
2025-03,H000022,C-000022,372.8,19.91,198.77,0.0,154.12,67.1
2025-04,H000022,C-000022,390.4,18.87,198.77,0.0,172.76,74.84
2025-05,H000022,C-000022,429.36,18.35,198.77,0.0,212.24,91.96
2025-06,H000022,C-000022,407.2,15.98,198.77,0.0,192.45,82.22
2025-01,H000023,C-000023,246.29,7.45,169.53,0.98,70.29,0.0
2025-02,H000023,C-000023,228.11,4.26,169.53,2.2,56.52,0.0
2025-03,H000023,C-000023,269.72,3.44,169.53,5.42,102.17,1.74
2025-04,H000023,C-000023,254.94,1.13,169.53,2.42,86.7,0.0
2025-05,H000023,C-000023,249.83,0.07,169.53,0.44,80.67,0.0
2025-06,H000023,C-000023,238.03,0.0,169.53,5.16,73.66,0.0
2025-01,H000024,C-000024,293.94,3.08,118.66,0.0,172.2,7.43
2025-02,H000024,C-000024,292.87,2.26,118.66,0.0,171.95,6.96
2025-03,H000024,C-000024,338.49,0.35,118.66,0.0,219.48,26.8
2025-04,H000024,C-000024,362.18,0.14,118.66,0.0,243.38,37.1
2025-05,H000024,C-000024,401.34,0.0,118.66,0.0,282.68,54.12
2025-06,H000024,C-000024,368.99,0.03,118.66,0.0,250.3,40.06
2025-01,H000025,C-000025,271.99,3.81,155.74,0.0,112.44,0.0
2025-02,H000025,C-000025,261.7,3.35,155.74,0.0,102.61,0.0
2025-03,H000025,C-000025,323.3,3.13,155.74,0.0,164.43,17.29
2025-04,H000025,C-000025,304.9,0.39,155.74,0.0,148.77,9.58
2025-05,H000025,C-000025,301.37,0.0,155.74,0.0,145.63,8.1
2025-06,H000025,C-000025,307.1,0.0,155.74,0.0,151.36,10.5
2025-01,H000026,C-000026,185.74,12.76,97.5,0.0,75.48,28.99
2025-02,H000026,C-000026,184.92,13.91,97.5,0.0,73.51,28.5
2025-03,H000026,C-000026,229.93,15.16,97.5,0.0,117.27,55.37
2025-04,H000026,C-000026,241.71,15.45,97.5,0.0,128.76,62.4
2025-05,H000026,C-000026,247.21,9.49,97.5,0.0,140.22,65.69
2025-06,H000026,C-000026,240.13,7.63,97.5,0.0,135.0,61.46
2025-01,H000027,C-000027,211.26,26.07,94.99,0.0,90.2,30.88
2025-02,H000027,C-000027,217.2,25.61,94.99,0.0,96.6,33.51
2025-03,H000027,C-000027,263.34,31.6,94.99,0.0,136.75,53.9
2025-04,H000027,C-000027,281.14,33.73,94.99,0.0,152.42,61.77
2025-05,H000027,C-000027,303.14,37.22,94.99,0.0,170.93,71.49
2025-06,H000027,C-000027,297.73,32.42,94.99,0.0,170.32,69.1
2025-01,H000028,C-000028,313.38,26.69,145.56,0.0,141.13,71.22
2025-02,H000028,C-000028,314.95,23.2,145.62,0.0,146.13,71.91
2025-03,H000028,C-000028,369.88,27.3,147.7,0.0,194.88,96.06
2025-04,H000028,C-000028,405.02,26.9,149.03,0.0,229.09,111.5
2025-05,H000028,C-000028,452.25,27.47,150.81,0.0,273.97,132.26
2025-06,H000028,C-000028,410.84,23.13,149.25,0.0,238.46,114.06
2025-01,H000029,C-000029,233.33,13.95,81.37,11.7,149.71,0.0
2025-02,H000029,C-000029,218.0,11.12,81.37,2.39,127.9,0.0
2025-03,H000029,C-000029,265.88,11.34,81.37,0.73,173.9,0.0
2025-04,H000029,C-000029,242.39,6.26,81.37,1.62,156.38,0.0
2025-05,H000029,C-000029,273.13,4.84,81.37,6.97,193.89,1.0
2025-06,H000029,C-000029,247.59,1.52,81.37,0.46,165.16,0.0
2025-01,H000030,C-000030,278.47,45.06,115.3,0.0,118.11,67.15
2025-02,H000030,C-000030,284.58,47.24,115.3,0.0,122.04,69.8
2025-03,H000030,C-000030,337.42,56.86,115.3,0.0,165.26,92.78
2025-04,H000030,C-000030,363.27,61.86,115.3,0.0,186.11,104.02
2025-05,H000030,C-000030,398.4,60.34,115.3,0.0,222.76,119.29
2025-06,H000030,C-000030,374.08,53.19,115.3,0.0,205.59,108.72
2025-01,H000031,C-000031,253.99,9.95,145.17,0.0,98.87,71.14
2025-02,H000031,C-000031,259.84,9.65,145.17,0.0,105.02,75.28
2025-03,H000031,C-000031,284.85,6.61,145.17,0.0,133.07,92.99
2025-04,H000031,C-000031,302.02,4.25,145.17,0.0,152.6,105.15
2025-05,H000031,C-000031,311.23,2.02,145.17,0.0,164.04,111.67
2025-06,H000031,C-000031,284.9,0.24,145.17,0.0,139.49,93.03
2025-01,H000032,C-000032,238.68,12.5,149.54,0.0,76.64,79.29
2025-02,H000032,C-000032,244.97,12.2,149.54,0.0,83.23,83.71
2025-03,H000032,C-000032,291.85,13.07,149.54,0.0,129.24,116.61
2025-04,H000032,C-000032,301.69,12.7,149.54,0.0,139.45,123.51
2025-05,H000032,C-000032,323.67,12.72,149.54,0.0,161.41,138.94
2025-06,H000032,C-000032,324.15,11.88,149.54,0.0,162.73,139.27
2025-01,H000033,C-000033,309.38,7.61,200.46,0.0,101.31,45.93
2025-02,H000033,C-000033,292.63,5.63,199.8,0.0,87.2,39.03
2025-03,H000033,C-000033,370.82,7.63,202.89,0.0,160.3,71.27
2025-04,H000033,C-000033,375.69,5.57,203.08,0.0,167.04,73.28
2025-05,H000033,C-000033,417.66,4.71,204.75,0.0,208.2,90.58
2025-06,H000033,C-000033,399.25,3.51,204.02,0.0,191.72,82.99
2025-01,H000034,C-000034,282.65,10.19,86.09,0.0,186.37,32.66
2025-02,H000034,C-000034,281.24,12.39,86.02,0.0,182.83,32.04
2025-03,H000034,C-000034,331.5,11.05,88.71,0.0,231.74,54.13
2025-04,H000034,C-000034,376.82,12.0,91.14,0.0,273.68,74.05
2025-05,H000034,C-000034,413.63,13.61,93.12,0.0,306.9,90.23
2025-06,H000034,C-000034,389.16,8.4,91.81,0.0,288.95,79.47
2025-01,H000035,C-000035,237.42,17.06,112.03,0.0,108.33,12.72
2025-02,H000035,C-000035,223.21,15.08,112.03,3.03,99.13,7.71
2025-03,H000035,C-000035,270.12,16.04,112.03,2.13,144.18,24.24
2025-04,H000035,C-000035,249.61,14.44,112.03,0.0,123.14,17.01
2025-05,H000035,C-000035,251.08,12.83,112.03,3.62,129.84,17.53
2025-06,H000035,C-000035,220.35,9.9,112.03,5.77,104.19,6.7
2025-01,H000036,C-000036,295.11,24.1,115.15,5.2,161.06,70.53
2025-02,H000036,C-000036,272.6,21.84,115.15,1.15,136.76,60.74
2025-03,H000036,C-000036,354.12,25.35,115.15,2.64,216.26,96.19
2025-04,H000036,C-000036,342.92,25.07,115.15,3.6,206.3,91.32
2025-05,H000036,C-000036,397.34,23.77,115.15,4.41,262.83,114.98
2025-06,H000036,C-000036,370.58,22.71,115.15,2.2,234.92,103.34
2025-01,H000037,C-000037,234.91,0.86,85.77,0.0,148.28,48.18
2025-02,H000037,C-000037,216.08,0.72,85.77,0.0,129.59,34.85
2025-03,H000037,C-000037,257.36,0.24,85.77,0.0,171.35,64.08
2025-04,H000037,C-000037,273.63,0.12,85.77,0.0,187.74,75.59
2025-05,H000037,C-000037,282.11,0.0,85.77,0.0,196.34,81.6
2025-06,H000037,C-000037,261.39,0.0,85.77,0.0,175.62,66.93
2025-01,H000038,C-000038,204.76,19.93,165.85,6.16,25.14,49.34
2025-02,H000038,C-000038,201.53,18.02,165.66,5.56,23.41,47.42
2025-03,H000038,C-000038,262.92,20.89,169.33,7.75,80.45,84.07
2025-04,H000038,C-000038,259.62,19.95,169.13,1.45,71.99,82.1
2025-05,H000038,C-000038,271.92,20.23,169.86,6.1,87.93,89.44
2025-06,H000038,C-000038,260.37,18.74,169.17,8.04,80.5,82.54
2025-01,H000039,C-000039,240.74,21.12,148.35,0.0,71.27,15.68
2025-02,H000039,C-000039,233.85,19.41,148.35,0.0,66.09,12.64
2025-03,H000039,C-000039,295.84,24.12,148.35,0.0,123.37,40.04
2025-04,H000039,C-000039,296.8,19.57,148.35,0.0,128.88,40.46
2025-05,H000039,C-000039,320.26,21.1,148.35,0.0,150.81,50.83
2025-06,H000039,C-000039,292.2,16.2,148.35,0.0,127.65,38.43
2025-01,H000040,C-000040,323.56,69.62,101.44,0.0,152.5,129.43
2025-02,H000040,C-000040,311.44,66.21,101.44,0.0,143.79,122.97
2025-03,H000040,C-000040,369.27,78.57,101.44,0.0,189.26,153.81
2025-04,H000040,C-000040,391.83,82.92,101.44,0.0,207.47,165.84
2025-05,H000040,C-000040,426.87,92.18,101.44,0.0,233.25,184.53
2025-06,H000040,C-000040,433.31,88.49,101.44,0.0,243.38,187.97
2025-01,H000041,C-000041,245.8,10.25,164.22,6.92,78.25,0.0
2025-02,H000041,C-000041,218.76,7.12,164.22,5.28,52.7,0.0
2025-03,H000041,C-000041,247.81,5.75,164.22,5.62,83.46,0.0
2025-04,H000041,C-000041,234.03,1.07,164.22,9.18,77.92,0.0
2025-05,H000041,C-000041,248.94,0.39,164.22,2.07,86.4,0.0
2025-06,H000041,C-000041,227.09,0.0,164.22,2.03,64.9,0.0
2025-01,H000042,C-000042,284.38,0.82,91.87,0.0,191.69,17.71
2025-02,H000042,C-000042,294.24,0.14,92.64,0.0,201.46,22.0
2025-03,H000042,C-000042,325.43,0.04,95.08,0.0,230.31,35.56
2025-04,H000042,C-000042,371.46,0.0,98.68,0.0,272.78,55.57
2025-05,H000042,C-000042,392.99,0.0,100.37,0.0,292.62,64.93
2025-06,H000042,C-000042,353.95,0.0,97.31,0.0,256.64,47.96
2025-01,H000043,C-000043,382.16,66.74,191.66,5.01,128.77,105.25
2025-02,H000043,C-000043,365.52,69.76,190.74,3.4,108.42,98.28
2025-03,H000043,C-000043,399.79,68.41,192.64,2.8,141.54,112.64
2025-04,H000043,C-000043,419.99,68.0,193.76,0.84,159.07,121.1
2025-05,H000043,C-000043,414.85,52.47,193.47,3.46,172.37,118.95
2025-06,H000043,C-000043,379.13,47.91,191.5,0.0,139.72,103.98
2025-01,H000044,C-000044,225.27,0.5,172.3,1.06,53.53,42.88
2025-02,H000044,C-000044,242.2,0.75,172.3,2.58,71.73,54.76
2025-03,H000044,C-000044,281.08,0.11,172.3,4.74,113.41,82.05
2025-04,H000044,C-000044,307.92,0.48,172.3,8.56,143.7,100.88
2025-05,H000044,C-000044,337.86,0.0,172.3,3.29,168.85,121.89
2025-06,H000044,C-000044,301.16,0.04,172.3,0.88,129.7,96.14
2025-01,H000045,C-000045,300.35,1.05,93.92,0.0,205.38,24.06
2025-02,H000045,C-000045,301.61,1.1,93.92,0.0,206.59,24.58
2025-03,H000045,C-000045,349.51,0.03,93.92,0.0,255.56,44.33
2025-04,H000045,C-000045,392.74,0.4,93.92,0.0,298.42,62.16
2025-05,H000045,C-000045,426.0,0.03,93.92,0.0,332.05,75.88
2025-06,H000045,C-000045,386.32,0.12,93.92,0.0,292.28,59.51
2025-01,H000046,C-000046,348.04,13.98,188.19,2.36,148.23,116.5
2025-02,H000046,C-000046,340.24,14.56,188.19,1.38,138.87,112.34
2025-03,H000046,C-000046,425.62,22.98,188.19,6.62,221.07,157.88
2025-04,H000046,C-000046,435.38,17.8,188.19,3.19,232.58,163.08
2025-05,H000046,C-000046,479.38,16.32,188.19,5.02,279.89,186.55
2025-06,H000046,C-000046,444.92,15.19,188.19,2.82,244.36,168.17
2025-01,H000047,C-000047,240.34,3.58,89.0,3.28,151.04,0.0
2025-02,H000047,C-000047,240.12,3.2,89.0,1.67,149.59,0.0
2025-03,H000047,C-000047,262.93,0.46,89.0,9.98,183.45,0.0
2025-04,H000047,C-000047,262.77,0.0,89.0,3.78,177.55,0.0
2025-05,H000047,C-000047,267.57,0.0,89.0,4.96,183.53,0.0
2025-06,H000047,C-000047,250.15,0.0,89.0,5.85,167.0,0.0
2025-01,H000048,C-000048,301.28,22.8,88.66,6.11,195.93,47.21
2025-02,H000048,C-000048,299.63,20.66,88.66,0.67,190.98,46.49
2025-03,H000048,C-000048,348.97,22.59,88.66,1.6,239.32,67.95
2025-04,H000048,C-000048,357.97,21.05,88.66,1.1,249.36,71.86
2025-05,H000048,C-000048,403.53,22.12,88.66,3.0,295.75,91.67
2025-06,H000048,C-000048,354.57,19.92,88.66,0.0,245.99,70.38
2025-01,H000049,C-000049,233.69,10.89,109.24,0.0,113.56,62.44
2025-02,H000049,C-000049,214.56,8.55,107.79,0.0,98.22,48.89
2025-03,H000049,C-000049,286.88,9.46,113.27,0.0,164.15,100.09
2025-04,H000049,C-000049,249.13,3.33,110.41,0.0,135.39,73.37
2025-05,H000049,C-000049,289.74,2.23,113.49,0.0,174.02,102.12
2025-06,H000049,C-000049,270.73,1.25,112.05,0.0,157.43,88.66
2025-01,H000050,C-000050,283.69,17.29,153.95,2.99,115.44,128.88
2025-02,H000050,C-000050,265.11,18.27,153.95,2.53,95.42,115.84
2025-03,H000050,C-000050,320.05,18.12,153.95,0.61,148.59,154.4
2025-04,H000050,C-000050,344.8,16.28,153.95,5.91,180.48,171.76
2025-05,H000050,C-000050,355.45,15.87,153.95,3.1,188.73,179.24
2025-06,H000050,C-000050,351.72,13.86,153.95,1.21,185.12,176.62
2025-01,H000051,C-000051,329.81,10.37,180.07,1.86,141.23,35.2
2025-02,H000051,C-000051,330.74,10.77,180.07,0.0,139.9,35.59
2025-03,H000051,C-000051,412.54,10.88,180.07,1.48,223.07,69.32
2025-04,H000051,C-000051,429.22,9.4,180.07,1.21,240.96,76.2
2025-05,H000051,C-000051,426.07,6.33,180.07,3.59,243.26,74.9
2025-06,H000051,C-000051,436.83,6.02,180.07,6.72,257.46,79.34
2025-01,H000052,C-000052,422.59,106.28,149.77,0.0,166.54,129.59
2025-02,H000052,C-000052,423.81,109.62,149.82,0.0,164.37,130.13
2025-03,H000052,C-000052,489.07,118.45,152.72,0.0,217.9,158.82
2025-04,H000052,C-000052,493.18,111.01,152.9,0.0,229.27,160.62
2025-05,H000052,C-000052,547.37,114.5,155.31,0.0,277.56,184.44
2025-06,H000052,C-000052,499.74,107.49,153.19,0.0,239.06,163.51
2025-01,H000053,C-000053,240.75,5.0,191.64,1.51,45.62,0.0
2025-02,H000053,C-000053,226.02,2.31,191.64,8.1,40.17,0.0
2025-03,H000053,C-000053,258.47,2.27,191.64,4.53,69.09,0.0
2025-04,H000053,C-000053,264.07,0.59,191.64,8.34,80.18,0.0
2025-05,H000053,C-000053,262.96,0.15,191.64,4.26,75.43,0.0
2025-06,H000053,C-000053,229.38,0.0,191.64,2.37,40.11,0.0
2025-01,H000054,C-000054,302.82,28.69,105.6,0.0,168.53,78.69
2025-02,H000054,C-000054,298.18,26.69,105.31,0.0,166.18,76.68
2025-03,H000054,C-000054,350.71,35.07,108.6,0.0,207.04,99.52
2025-04,H000054,C-000054,366.11,32.96,109.56,0.0,223.59,106.21
2025-05,H000054,C-000054,402.99,32.65,111.87,0.0,258.47,122.25
2025-06,H000054,C-000054,392.16,30.29,111.2,0.0,250.67,117.54
2025-01,H000055,C-000055,234.87,10.67,155.2,10.91,79.91,80.29
2025-02,H000055,C-000055,225.45,9.94,155.2,5.93,66.24,73.62
2025-03,H000055,C-000055,267.12,8.46,155.2,4.02,107.48,103.12
2025-04,H000055,C-000055,258.28,5.53,155.2,0.0,97.55,96.86
2025-05,H000055,C-000055,263.52,3.44,155.2,7.03,111.91,100.57
2025-06,H000055,C-000055,254.3,2.81,155.2,8.04,104.33,94.04
2025-01,H000056,C-000056,232.84,12.4,159.07,0.0,61.37,87.8
2025-02,H000056,C-000056,248.32,12.71,159.07,0.0,76.54,98.66
2025-03,H000056,C-000056,294.09,15.3,159.07,0.0,119.72,130.78
2025-04,H000056,C-000056,299.42,10.63,159.07,0.0,129.72,134.52
2025-05,H000056,C-000056,340.45,17.47,159.07,0.0,163.91,163.31
2025-06,H000056,C-000056,313.12,12.09,159.07,0.0,141.96,144.13
2025-01,H000057,C-000057,248.14,56.34,162.06,0.0,29.74,65.65
2025-02,H000057,C-000057,234.17,52.8,162.06,0.0,19.31,59.47
2025-03,H000057,C-000057,279.7,67.72,162.06,0.0,49.92,79.6
2025-04,H000057,C-000057,306.78,71.87,162.06,0.0,72.85,91.57
2025-05,H000057,C-000057,320.58,72.89,162.06,0.0,85.63,97.67
2025-06,H000057,C-000057,311.05,72.05,162.06,0.0,76.94,93.45
2025-01,H000058,C-000058,294.41,1.32,173.43,0.0,119.66,31.78
2025-02,H000058,C-000058,294.66,2.95,173.43,0.0,118.28,31.89
2025-03,H000058,C-000058,363.75,1.74,173.43,0.0,188.58,62.26
2025-04,H000058,C-000058,366.31,0.28,173.43,0.0,192.6,63.38
2025-05,H000058,C-000058,394.21,0.01,173.43,0.0,220.77,75.65
2025-06,H000058,C-000058,380.4,0.0,173.43,0.0,206.97,69.58
2025-01,H000059,C-000059,266.8,1.6,122.98,0.0,142.22,0.0
2025-02,H000059,C-000059,249.46,1.07,122.98,0.0,125.41,0.0
2025-03,H000059,C-000059,277.05,0.19,122.98,0.0,153.88,1.41
2025-04,H000059,C-000059,276.59,0.0,122.98,0.0,153.61,1.25
2025-05,H000059,C-000059,264.4,0.0,122.98,0.0,141.42,0.0
2025-06,H000059,C-000059,260.2,0.0,122.98,0.0,137.22,0.0
2025-01,H000060,C-000060,275.39,14.34,88.46,0.0,172.59,36.36
2025-02,H000060,C-000060,270.43,16.23,88.46,0.0,165.74,34.2
2025-03,H000060,C-000060,315.82,12.13,88.46,0.0,215.23,53.94
2025-04,H000060,C-000060,334.88,14.05,88.46,0.0,232.37,62.23
2025-05,H000060,C-000060,377.73,17.31,88.46,0.0,271.96,80.86
2025-06,H000060,C-000060,359.24,13.18,88.46,0.0,257.6,72.82
2025-01,H000061,C-000061,369.69,85.86,191.93,0.0,91.9,100.03
2025-02,H000061,C-000061,360.52,83.48,191.4,0.0,85.64,96.19
2025-03,H000061,C-000061,397.03,91.51,193.54,0.0,111.98,111.48
2025-04,H000061,C-000061,418.02,81.53,194.77,0.0,141.72,120.27
